"Jl. Kol. Yos Sudarso No.8, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20234, Indonesia"
"Jl. Brigjen Zain Hamid No. 28, Titi Kuning, Medan Johor,"
"Suzuya Plaza Blok A 3-4, Jl. Raya Tanjung Morawa Km 17,5"
"Suzuya Plaza Blok A 3-4, Jl. Raya Tanjung Morawa Km 17,5"
"Suzuya Plaza Blok A 3-4, Jl. Raya Tanjung Morawa Km 17,5"
"Jl. Putri Hijau No.10m, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia"
"Jl. Putri Hijau No.10, Kesawan, Kec. Medan Bar., Kota Medan,"
"Jl. Veteran No. 1 GH, Medan, Sumatera Utara, 20321"
"Jl. Veteran No.27, Gg. Buntu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20212, Indonesia"
"Jl. Bandara Kuala Namu, Ps. Enam Kuala Namu, Kabupaten Deli Serdang,"
"Jl. Gatot Subroto No.139, Sei Sikambing D, Kec. Medan Petisah,"
"Jl. J. Gatot Subroto, Petisah Tengah, Kec. Medan Petisah"
"Jl. Gatot Subroto No.139, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118, Indonesia"
"Jl. Karya Wisata, Pangkalan Masyhur, Kec. Medan Johor"
"Jl. Karya Wisata, Pangkalan Masyhur, Kec. Medan Johor"
"Jl. Karya Wisata, Pangkalan Masyhur, Kec. Medan Johor"
"Jl. Karya No.169, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117, Indonesia"
"Jl. Karya No.169, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117, Indonesia"
"Jl. Karya No.169, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117, Indonesia"
"Jl. Imam Bonjol No.16D, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112"
"Jl. Gatot Subroto No.143, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia"
"Jl. J. Gatot Subroto, Petisah Tengah, Kec. Medan Petisah,"
"Jl. Denai No.245, Tegal Sari Mandala Ii, Kec. Medan Denai"
"Jalan Medan Batang Kuis No.49, Dusun Enam,, Sumatra Utara"
"Jl. Pahlawan Deli Tua- Medan No.15, Deli Tua, Sumatra Utara"
"Jl. Pahlawan Deli Tua-Medan No. 15, Deli Tua, Kec. Deli Tua Kab, Deli Serdang"
"Jl. Jamin Ginting, Sugau, Kec. Pancur Batu, Kabupaten Deli Serdang,"
"Jl. Kirana Raya No. 40-42, Petisah Tengah, Sumatra Utara"
"Jl. Kirana Raya No. 40-42, Petisah Tengah, Sumatra Utara"
"Jl. Pertahanan No.87, Timbang Deli, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20149, Indonesia"
"Jalan Besar Tigabinanga, Kecamatan Tigabinanga, Kabupaten Karo, Sumatera Utara 22162, Tigabinanga, Tiga Bina"
"Jl. Karya Jaya No.256A, Gedung Johor, Kec. Medan Johor, Kota Medan,"
"Jl.Cactus Raya Blok K No. 36 G Komplek Tasbih, Sumatra Utara"
"Jl.Cactus Raya Blok K No. 36 G Komplek Tasbih, Sumatra Utara"
"Jl.Cactus Raya Blok K No. 36 G Komplek Tasbih, Sumatra Utara"
"Jl. Pdam Tirtanadi Sunggal,No 267, Kota Medan, Sumatra Utara"
"Jl. Kapten Pala Bangun No.84, Lau Cimba, Kabanjahe, Kabupaten Karo, Sumatera Utara 22111, Indonesia"
"Jl. Bakaran Batu No.31 , Tj. Garbus Satu, Lubuk Pakam,"
"Jl. Bajak Ii No. A3 Kel, Harjosari Ii, Kota Medan, Sumatra Utara"
"Jl. Letjen S Parman No.207de, RT.02, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia"
"Jl. Balai Kota No.12-14, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia"
"Bank Mandiri Medan Balai Kota, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara, Indonesia"
"Bank Mandiri Medan Balai Kota, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara, Indonesia"
"Bank Mandiri Medan Balai Kota, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara, Indonesia"
"Komplek Bsm Jl. Soekarno Hatta No.14 Binjai, Sumatra Utara"
"Jl. Jend Sudirman No 397 Binjai, Kota Binjai, Sumatra Utara"
"Jl. Perintis Kemerdekaan No. 5-5A, Kota Medan, Sumatra Utara"
"Jl. Perintis Kemerdekaan No.5, Gaharu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20231, Indonesia"
"Jl. Arief Rahman Hakim No.104, Sukaramai I, Kec. Medan Area, Kota Medan, Sumatera Utara 20216"
Jalan Arief Rahman Hakim No. 104 Kel.  Tegal Sari I Kec. Medan Area
"Jl. Arief Rahman Hakim No.62a, Sukaramai I, Kec. Medan Area, Kota Medan, Sumatera Utara 20227, Indonesia"
"Jl. Cirebon, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia"
"Jl. Cirebon No.53, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia"
"Jl Sultan Iskandar Muda No. 29 Abc, Kel. Merdeka, Kec. Medan Baru, 20153"
"Jl Sultan Iskandar Muda No. 29 Abc, Kel. Merdeka, Kec. Medan Baru, 20153"
"Jl. Iskandar Muda No.135B, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia"
"Jl. Kapten Muslim No.115a, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20122, Indonesia"
"Jl. Kapten Muslim Komp. Mega Com No 1 A, Sumatra Utara"
"Jl. Kapten Muslim No.115a, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20122, Indonesia"
"Jl. Sisingamangaraja No. 55 A-B, Kota Medan, Sumatra Utara"
"Jl. Sisingamangaraja No. 55 A-B, Kota Medan, Sumatra Utara"
"Jl. Sisingamangara No. 55 A-B Medan, Kota Medan, Sumatra Utara"
"Jl.Gatot Subroto Km 8 N0.15 - 16 Medan, Kota Medan, Sumatra Utara"
"Jl. Gagak Hitam No.70, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122, Indonesia"
"Jl. Jend.Gatot Subroto KM.8 No. A 15-16 Kel. Sunggal, Kec. Medan Sunggal"
"Jl. Wahidin No.42, Pandau Hulu I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20233, Indonesia"
"Jl. Wahidin No.42, Pandau Hulu I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20233, Indonesia"
"Jl. Dr. Mansyur No.68, Merdeka, Kec. Medan Baru, Kota Medan, Sumatera Utara 20154, Indonesia"
"Jl. Gunung Krakatau No.118a, Glugur Darat I, Kec. Medan Tim., Kota Medan, Sumatera Utara 20236, Indonesia"
"Jl. Gunung Krakatau No.118a, Glugur Darat I, Kec. Medan Tim., Kota Medan, Sumatera Utara 20236, Indonesia"
"Jl. Krakatau No. 60/120 Medan, 20238 Sumatera Utara"
"Jl. Semarang No.46f, RW.02, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia"
"Jl. Ring Road, Komp. Mega Busines Centre No. 3, Sumatra Utara"
"Jl. Ringroads Komplek Mega Bisnis Center No.3, Sumatra Utara"
Jl. Marelan Raya Komplek Ruko Irian Supermarket No.6-7
Jl. Marelan Raya Komplek Ruko Irian Supermarket No.6-7
"Komplek Pertamina Sumbagut, Desa Puraka I, Sei Lepan"
"Komp.Pertamina Sumbagut Pb20857, Kota Medan, Sumatra Utara"
"Jl. Thamrin No.75R, Sei Rengas II, Kec. Medan Kota, Kota Medan, Sumatera Utara 20211, Indonesia"
"Komplek Pertamina Sumbagut, Pangkalan Brandan, Sumatra Utara"
"Jl. Lintas Sumatra, Tangkahan Durian, Brandan Bar., Kabupaten Langkat, Sumatera Utara 20859, Indonesia"
"Komplek Pertamina Sumbangut Pangkalan Brandan, Sumatra Utara"
"Jl. Kh Zainul Arifin No. 32, Stabat, Kota Medan, Sumatra Utara"
"Jl. KH. Zainul Arifin No.32, Kwala Bingai, Kec. Stabat, Kabupaten Langkat, Sumatera Utara 20811, Indonesia"
"Jl.Kh.Zainul Arifin No.6-8 Stabat, Kota Medan, Sumatra Utara"
"Jl. Cemara Boulevard Blok G.I No. 29 - 31, Sumatra Utara"
"Jl. Boulevard Blok G 29-31, Komp. Cemara Asri Medan"
"Jl. Mesjid No.184, Sampali, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia"
"Bank Mandiri Mangkubumi, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara, Indonesia"
"Jl. Pulau Batam Kawasan Industri Medan, Sumatra Utara"
"Jl. Pelabuhan II Kotak Pos 15, Belawan II, Medan Belawan, Belawan II, Medan Kota Belawan, Kota Medan, Sumate"
"Jl. Pelabuhan II Kotak Pos 15, Belawan II, Medan Belawan, Belawan II, Medan Kota Belawan, Kota Medan, Sumate"
"Jl. Pelabuhan II Kotak Pos 15, Belawan II, Medan Belawan, Belawan II, Medan Kota Belawan, Kota Medan, Sumate"
"Jln. Pelabuhan Ii No. 1 Kel. Belawan Ii, Sumatra Utara"
"Jl. Gatot Subroto No.39 Kec. Binjai Barat, Sumatra Utara"
"Jl. Gadjah Mada No.8A, Kec Pekan Kuala, Sumatra Utara"
"EF Jl. Gunung Krakatau No.7, Pulo Brayan Darat II, Kec. Medan Tim., Kota Medan, Sumatera Utara 20216, Indones"
"Jl. Gunung Krakatau, Pulo Brayan Darat II, Kec. Medan Tim., Kota Medan, Sumatera Utara 20237, Indonesia"
"Jl.Nusa Indah Raya No.56 Helvetia Tengah Medan, Sumatra Utara"
"Jl. Jendral Sudirman No.292, Binjai, Kec. Binjai Kota, Kota Binjai, Sumatera Utara 20711, Indonesia"
"Jl. Berdikari No. 10 Pekan Bahorok, Kota Medan, Sumatra Utara"
"Jl. Secanggang, Hinai Kiri, Secanggang, Kabupaten Langkat, Sumatera Utara 20855, Indonesia"
"Jl. Pusat Pasar No.94-95, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20216, Indonesia"
"Jl. Pusat Pasar No.94-95, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20232, Indonesia"
"Jl.Besar Batang Serangan, Tj.Selamat Padang Tualang"
"Jalan Besar Tanjung Pura Langkat, Kabupaten Langkat, Sumatra Utara"
"Pekan Besitang, Jl. Raya Medan - Aceh, Kabupaten Langkat, Sumatra Utara"
"Jl. Tengku Amir Hamzah, Griya Bidadari No. 3, Sumatra Utara"
"Jl. Asia No.97CD, Sei Rengas II, Kec. Medan Area, Kota Medan, Sumatera Utara 20211, Indonesia"
"Jl. Asia No.97CD, Sei Rengas II, Kec. Medan Area, Kota Medan, Sumatera Utara 20211, Indonesia"
"Jl. Asia No.97CD, Sei Rengas II, Kec. Medan Area, Kota Medan, Sumatera Utara 20211, Indonesia"
"Jl. Letda Sujono No.221, Bantan Tim., Kec. Medan Tembung, Kota Medan, Sumatera Utara 20223, Indonesia"
"Jl. Letda Sujono No.221, Bantan Tim., Kec. Medan Tembung, Kota Medan, Sumatera Utara 20223, Indonesia"
"Jl. Yos Sudarso Blok  A No.1A, Pulo Brayan, Sumatra Utara"
"Jl. Yos Sudarso Blok A No. 1 A Medan, Kota Medan, Sumatra Utara"
"Jl. Yos Sudarso Blok  A No.1A, Pulo Brayan, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Jendral Sudirman No 14 Pematangsiantar, Sumatra Utara"
"Jl. Patuan Nagari No.10, Balige, Kota Balige, Sumatra Utara"
"Jl. Patuan Nagari No.10, Sangkar Nihuta, Balige, Kabupaten Toba Samosir, Sumatera Utara 22312, Indonesia"
"Komp.Mega Land Jl.Asahan Sangnawaluh No.50-51  , Sumatra Utara"
"Komp.Mega Land Jl.Asahan Sangnawaluh No.50-51  , Sumatra Utara"
"Komp.Mega Land Jl.Asahan Sangnawaluh No.50-51  , Sumatra Utara"
"Jl.Merdeka No. 140, Dolok Sanggul, Kabupaten Humbang Hasundutan, Sumatra Utara"
Jl Merdeka Dolok Sanggul No 52 Kab Humbang Hasundutan
"Jl. Diponegoro No.118ab, Ilir, Gn. Sitoli, Kota Gunungsitoli, Sumatera Utara, Indonesia"
"Jl. Diponegoro No.118ab, Ilir, Gn. Sitoli, Kota Gunungsitoli, Sumatera Utara, Indonesia"
"Jl. Diponegoro No.118ab, Ilir, Gn. Sitoli, Kota Gunungsitoli, Sumatera Utara, Indonesia"
"Jl. Sutomo No. 16, Pematangsiantar, Kota Pematang Siantar, Sumatra Utara"
"Jl. Sutomo No. 16, Pematangsiantar, Kota Pematang Siantar, Sumatra Utara"
"Jl. Sutomo No 16 Pematangsiantar, Kota Pematang Siantar, Sumatra Utara"
"Jl. Sutomo No.16 Pematangsiantar, Kota Pematang Siantar, Sumatra Utara"
"Jl. Sutomo No.20, Simalungun, Kec. Siantar Sel., Kota Pematang Siantar, Sumatera Utara 21144, Indonesia"
"Jl Sisingamangaraja No 488 Perdagangan, Sumatra Utara"
"Jl Sisingamangaraja No 488 Perdagangan, Kabupaten Simalungun, Sumatra Utara"
"Jl Sisingamangaraja No 488 Perdagangan, Sumatra Utara"
"Jl. Dr. Sutomo No. 17, Tebing Tinggi, Kota Tebing Tinggi, Sumatra Utara"
"Jl. Dr. Sutomo No. 17, Tebing Tinggi, Kota Tebing Tinggi, Sumatra Utara"
"Jl. Dr. Sutomo No. 17, Tebing Tinggi, Kota Tebing Tinggi, Sumatra Utara"
"Jl. Dr. Sutomo No. 17, Tebing Tinggi, Kota Tebing Tinggi, Sumatra Utara"
"Jl. Dr. Sutomo No. 17, Tebing Tinggi, Kota Tebing Tinggi, Sumatra Utara"
"Jl. Jend. Sudirman No. 59, Indrapura, Kabupaten Batu Bara, Sumatra Utara"
Jl. Sisingamangaraja No.47 Kel. Pasar Siborong-Borong
"Jl. SM Raja No. 47, Siborong-borong Pasar Siborongborong"
"Jl. Merdeka No. 5C Kel, Serbelawan Kec. Dolok Batu Nanggar, Serbelawan  Kab Simalungun Bank Mandiri Serbela"
"Jl. Ahmad Yani No.43, Ps. Baru, Sibolga Kota, Kota Sibolga, Sumatera Utara 22513, Indonesia"
"Jl. Ahmad Yani No.43, Ps. Baru, Sibolga Kota, Kota Sibolga, Sumatera Utara 22513, Indonesia"
"Jl. Ahmad Yani No.43, Ps. Baru, Sibolga Kota, Kota Sibolga, Sumatera Utara 22513, Indonesia"
"Jl. Ahmad Yani No.43, Ps. Baru, Sibolga Kota, Kota Sibolga, Sumatera Utara 22513, Indonesia"
"Jl. Raya Pekan Sidamanik No. 52, Sidamanik, Sumatra Utara"
"Jl. Sm Raja No.86, Hutatoruan X, Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22411, Indonesia"
"Jl. Sm Raja No.14, Tanah Jawa, Kab. Simalungun, Sumatra Utara"
"Jl. Sutomo, Saribudolok, Silimakuta, Kabupaten Simalungun, Sumatra Utara"
"Jl. Medan Km 9,5 Komplek Beringin Indah Kab. Simalungun"
"Jl. Diponegoro, Pardomuan I, Pangururan, Kabupaten Samosir, Sumatera Utara 22392, Indonesia"
Jl. Thamrin-Tebing Tinggi Pasar Gambir Tebing Tinggi
"Jl. Sm Raja No 192 Parluasan, Pematang Siantar  Bank Mandiri Cabang Parluasan"
"Jl. Raya Lintas Tengah Sumatera No 116, Porsea, Kab. Toba Samosir"
Jl. Sutomo Griya Raya Hapoltakan Pematang Raya No 22-21 Kab Simalungun
"Jl. Sisingamangaraja No.160, Kota Sidikalang, Sidikalang, Kabupaten Dairi, Sumatera Utara 22218, Indonesia"
Jl. Perintas Kemerdekaan No 06 Galang Deli Serdang
"Jl. Dusun Iv No. 2 Pagar Merbau Ii, Kabupaten Deli Serdang"
"Jl. Negara No. 88A, Sei Rampah - Sergei, Sumatra Utara"
"Jl. Hang Kesturi No.4, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29467, Indonesia"
"mandau city mall, Babussalam, Kec. Mandau, Kabupaten Bengkalis, Riau 28784, Indonesia"
"Jl. Jend. Ahmad Yani No.2, Rantau Prapat, Sumatra Utara"
"Jl. Jend. Ahmad Yani No.2, Rantau Prapat, Sumatra Utara"
"Jl. Jend. Ahmad Yani No. 2, Bakaran Batu, Rantau Selatan, Pulo Padang, Rantau Utara, Kabupaten Labuhan Batu, S"
"Jl. Ahmad Yani No.49, Tj. Balai Karimun, Kec. Karimun, Kabupaten Karimun, Kepulauan Riau 29661, Indonesia"
"Jl. Teuku Umar No. 169-173, Tanjung Balai Selatan, Sumatra Utara"
"Jl. Teuku Umar No. 169-173, Tanjung Balai Selatan, Sumatra Utara"
"Jl. Jend Sudirman No 30-32, Padang Sidempuan, Sumatra Utara"
"Jl. Jend. Sudirman No. 30-32, Padang Sidempuan, Sumatra Utara"
"Jl. Jend. Sudirman No.30-32, Padang Sidempuan, Sumatra Utara"
"Jl. Jend Sudirman No 30-32, Padang Sidempuan, Sumatra Utara"
"Jl. Hos Cokroaminoto No.65, Kisaran, Kabupaten Asahan, Sumatra Utara"
"Jl.Hos Cokroaminoto No. 65 Kisaran, Kabupaten Asahan, Sumatra Utara"
"Jl. Cokro Aminoto No.73, Kisaran Kota, Kec. Kota Kisaran Barat, Kabupaten Asahan, Sumatera Utara 21211, Indon"
"Jl. Cokro Aminoto No.65, Sei Renggas, Kec. Kota Kisaran Barat, Kabupaten Asahan, Sumatera Utara 41311, Indone"
"Jl. Letkol. Martinus Lubis No.11, Kota Rantau Prapat, Sumatra Utara"
"Jl. Letkol. Martinus Lubis No.11 , Kabupaten Labuhanbatu, Sumatra Utara"
"Jl. Letkol Martinus Lubis No. 11, Rantau Prapat, Sumatra Utara"
"Jl. Merdeka No. 101, Kel. Pasar Sipirok, Sipirok, Sumatra Utara"
"Jl. Ahmad Yani No.24, Kec. Bilah Hulu, Aek Nabara, Sumatra Utara"
"Jl. Lintas Sumatra Labuhan Batu No.25, Kp Pajak, Sumatra Utara"
"Jl. Protokol Negeri Lama No.85, Bilah Hilir, Negeri Lama"
"Jl. Lintas Sumatera No.28, Sei Piring, Kec. Rehuning, Asahan"
"Jl. Jend. Sudirman No. 250, Aek Kanopan Timur, Kualuh Hulu"
"Jl. Jend. Sudirman No. 250, Aek Kanopan Timur, Kualuh Hulu"
"Jl.Jend. Gatot Subroto No.52, Rantau Prapat, Sumatra Utara"
"Jl. S. Parman No.177, Kel. Sidorejo, Kec. Rantau Selatan, Rantau Prapat"
"Jl. Merdeka No.56, Kel. Pasar Gunung Tua, Kec. Padang Bolak"
"Jl. Jend. Sudirman No.34 Kel. Wek Ii, Padang Sidempuan Utara"
"Jl. Lintas P.Sidempuan - Sibolga, Km.25, Desa Sumuran Kec. Batang Toru"
"Jl. Raya Lintas Sumatera No. 138 - 140, Aek Batu, Torgamba, Cikampak"
"Jl. Raya Lintas Sumatera No. 138 - 140, Aek Batu, Torgamba, Cikampak"
"Jl. Willem Iskandar No. 105, Panyabungan, Sumatra Utara"
"Jl. Willem Iskandar No.105, Panyabungan, Sumatra Utara"
"Jl. Willem Iskandar No. 105, Panyabungan, Sumatra Utara"
"Jl. Kihajar Dewantara, No. 30, Sibuhuan, Kec.Barumun"
"Psr Sibuhuan, Barumun, Padang Lawas Regency, North Sumatra 22763, Indonesia"
"Tlk. Bano I, Kec. Bangko Pusako, Kabupaten Rokan Hilir, Riau 28912, Indonesia"
"Tlk. Bano I, Kec. Bangko Pusako, Kabupaten Rokan Hilir, Riau 28912, Indonesia"
"Jl. Karangsari Anyer Gunung Maligas , Kabupaten Simalungun, Sumatra Utara"
Komplek Taman Setia Budi Indah Jln. Crysant V Blok C No. 1
"Jl. H. Adam Malik No.11, Sekip, Kec. Medan Petisah, Kota Medan,"
"Jl. Brigjend Katamso No.710, Kp. Baru, Kec. Medan Maimun, Kota Medan,"
"Jl. Raya Medan Lubuk Pakam Km. 20, Tanjung Morawa Lubuk Pakam, Sumatera Utara"
"Jl. Lintas Sumatera Kec. Air Batu,Desa Hessa, Sumatra Utara"
"Jl. Diponegoro No. 2, Kel. Pancuran Gerobak, Sibolga"
"Jl. Brigjend Katamso Pantai Burung 3 No.36, Sei Mati, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20215,"
"Jl Pergubungan, Laut Dendang, Percut Sei Tuan, Deli Serdang, Sumatera Utara"
"Jl.Jend. Gatot Subroto Km. 4,5 Sei Kambing, Sumatra Utara"
"Jl. Sisingamangaraja No.7, Mesjid, Medan Kota, Kota Medan, Sumatera Utara 20212"
"Kel. Bah Jambi, Kec. Hutabayuraja, Kab. Simalungun"
"Jl. Pendeta Justin Sihombing, Merdeka, Siantar Tim., Kota Pematang Siantar, Sumatera Utara 21143"
"Jalan Dr Sutomo No 21 Pahlawan, Binjai Utara, Sumatra Utara"
"Jl.Lintas Sumatera Km.13 Desa Air Genting, Simpang Kawat, Kisaran"
"Jl. Krakatau Ujung No.18, Tj. Mulia, Kec. Medan Deli, Kota Medan, Sumatera Utara 20237, Indonesia"
"Jl. Imam Bonjol No.33, J A T I, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia"
"Jl. Gaperta No.206-200, Helvetia, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123, Indonesia"
"Jl. Sei Batang Hari No.35, Babura Sunggal, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20112, Indonesia"
"Jln. Jend. Gatot Subroto Km. 5,5 Medan, Sumatra Utara"
"Jl. Gabion, Bagan Deli, Medan Kota Belawan, Kota Medan, Sumatera Utara"
"Pabatu, Serdang Bedagai, Kab. Sergei, Kota Tebing Tinggi, Sumatra Utara"
"Jl. Sisingamangaraja No.11, Km.4, Padang Sidempuan"
"Jl. Darussalam No.12, Sei Sikambing D, Medan Petisah, Kota Medan, Sumatera Utara 20119"
"Kp. Klp. Satu, Galang, Kabupaten Deli Serdang,, Sumatra Utara"
"Jln. Bandar Klippa, Percut Sei Tuan, Amplas, Sumatra Utara"
"Jl. Hang Jebat, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia"
"Jl. Jend. Ahmad Yani No.10, Rantau Prapat, Sumatra Utara"
"Mandoge, Kec. Bandar Pasir Mandoge, Kab. Asahan, Sumatra Utara"
"Jl. Lintas Sumatera, Ptpn Iv, Pulu Raja, Aek Batu, Sumatra Utara"
"Jl. Melanton Siregar Pematangsiantar, Kota Pematang Siantar, Sumatra Utara"
"Simpang Tiga Pekan, Perbaungan, Serdang Bedagai Regency,"
"Jl. Sei Mencirim Dusun Ii Paya Geli No.86, Sumatra Utara"
"Jl. Gatot Subroto Simpang Jl Ayahanda Medan, Sumatra Utara"
"Jl. Karya Jaya No.174, Gedung Johor, Kec. Medan Johor, Kota Medan, Sumatera Utara 20147, Indonesia"
"Jl. Veteran No.99, Helvetia, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20241, Indonesia"
"Jl. Amal Luhur No.30, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123, Indonesia"
"Jln. Jamin Ginting Km. 11,5 Simpang Selayang, Sumatra Utara"
Jl. Sangnawaluh Kel. Kerasaan I Kec. Pematang Bandar Kerasaan Pematangbandar Simalungun
"Jl. Darussalam, Babura, Kec. Medan Baru, Kota Medan,"
"Jl. Gaperta Ujung No. 33 Rt.Rw Kel, Tj. Gusta, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20125, Indonesi"
"Jl. Bandara Kuala Namu, Ps. Enam Kuala Namu, Kabupaten Deli Serdang,"
"Jalan Utama Dusun Vii Kec. Batangkuis, Kabupaten Deli Serdang, Sumatra Utara"
"Jl. Sekip No.58 G, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20113, Indonesia"
"Jl. St. No.7, Belawan II, Medan Kota Belawan, Kota Medan, Sumatera Utara 20411, Indonesia"
"Jl. Sisingamangaraja Sudut, Medan Amplas, Sitirejo Ii, Kec. Medan Amplas, Kota Medan,"
"Jl. Listrik No.2A, Petisah Tengah, Kec. Medan Petisah"
"Jl. Rawa No.9, Timbang Deli, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20148, Indonesia"
"Jl. Fl. Tobing No 79 Pandan Tapanuli Tengah, Sumatra Utara"
"Jl. Denai No.217, Tegal Sari Mandala II, Kec. Medan Denai, Kota Medan, Sumatera Utara 20371, Indonesia"
"Sei Kopas, Kec. Bandar Pasir Mandoge, Kab. Asahan, Sumatra Utara"
"Ptpn Iv Ajamu, Desa Perkebunan Ajamu, Kec.Panai Hulu, Labuhanbatu"
"Jl. Nagori Panombena Hutahurung, Bah Birong Ulu, Jorlang Hantaran Kabupaten Simalungun"
"Jl. Platina Raya No. 108. Medan, Kota Medan, Sumatra Utara"
Jl. Jend. Sudirman No. 14 Pematangsiantar 21117 Sumatera Utara
"Jl. Jend Sudirman No 30-32, Padang Sidempuan, Sumatra Utara"
"Jl. Imam Bonjol No.7, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20152, Indonesia"
"Jl. Balaikota No. 8-10 Medan 20111, Kota Medan, Sumatra Utara"
