address,latitude,longitude,Bank
"KALIURANG CRM 1 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
"KALIURANG CRM 2 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
"KALIURANG CRM 3 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
"KALIURANG CRM 4 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
"KALIURANG CRM 5 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
"KALIURANG CRM 6 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
"KALIURANG CRM 7 JL KALIURANG KM 6,4 NO 60 SLEMAN, YOGYAKARTA",-7.753308100,110.384193900,BCA
K.H.A DAHLAN CRM 1 JL KH AKHMAD DAHLAN NO 08 YOGYAKARTA,-7.801584482,110.362843400,BCA
K.H.A DAHLAN CRM 2 JL KH AKHMAD DAHLAN NO 08 YOGYAKARTA,-7.801584482,110.362843400,BCA
K.H.A DAHLAN CRM 3 JL KH AKHMAD DAHLAN NO 08 YOGYAKARTA,-7.801584482,110.362843400,BCA
"SUPERINDO KALIURANG CRM 1 JL KALIURANG KM 6,2 NO 51 YOGYAKARTA",-7.752600000,110.384600000,BCA
"INDOMARET BANTUL JL. RAYA BANTUL NO. 60, YOGYAKARTA",-7.817800000,110.355600000,BCA
"MIROTA KALIURANG CRM 1 JL KALIURANG KM 6,1 YOGYAKARTA",-7.752800000,110.384600000,BCA
RAMAYANA RB 17 JL. A. YANI 66 YOGYAKARTA,-7.797600000,110.365200000,BCA
"ALFAMIDI SUPERMARKET MANTRIJERON JL BANTUL KM 2,5, MANTRIJERON, GEDONGTENGEN, YOGYAKARTA",-7.820200000,110.355100000,BCA
CUPIDO INTERNET CAFÉ JL. CIK DITIRO NO. 38 YOGYAKARTA,-7.776100000,110.375000000,BCA
INDOMARET PERINDUSTRIAN PLG CRM 1 JL PERINDUSTRIAN KEC SUKARAME PALEMBANG,-2.928464000,104.716432000,BCA
